thank you for watching.,"['thank', 'for', '.']"
you don't need us to tell you gas prices are back onment rise.,"['do', ""n't"", 'need', 'us', 'tell', 'gas', 'prices', 'back', 'onment', 'rise', '.']"
you don't need us to tell that you gas prices are back on i did.,"['do', ""n't"", 'need', 'us', 'tell', 'you', 'gas', 'are', 'on', 'i', 'did', '.']"
"at 00.  you are 30 a.m., you are 00 p.m.  plug this   welcome to ""red eye.""","['00.', 'you', '30', 'a.m.', ',', 'you', '00', 'plug', 'this', 'welcome', 'to', '``', 'eye', '.']"
"em greg gutfeld or as i am known in dc, the belt way butcher.","['dc', 'butcher', 'greg', 'the', 'am', 'as', 'belt', 'em', 'in', 'known', 'gutfeld']"
now to andy levy for a pre game report.,"['now', 'andy', 'levy', 'for', 'pre', 'report', '.']"
what is coming up on tonight's show?,"['show', 'coming', '?', 'tonight', 'is', 'up']"
"our top story, could a drug make sleep optional?","['top', 'story', ',', 'a', 'drug', 'sleep', 'optional', '?']"
my brain does that on its own.,"['brain', 'does', 'that', 'its', '.']"
stupid brain.,"['stupid', 'brain']"
and michael hastings says being this the presence of president obama makes reporters swoon.,"['michael', 'hastings', 'says', 'being', 'this', 'presence', 'president', 'obama', 'reporters', 'swoon', '.']"
the shocking story that is probably the least shocking story ever.,"['shocking', 'story', 'that', 'probably', 'the', 'least', 'story', 'ever', '.']"
"and finally should hollywood stop its acting agenda, but anne hath away is nominated for a horrible movie that they can't deal with the story right now.","['finally', 'should', 'hollywood', 'stop', 'its', 'agenda', ',', 'but', 'hath', 'is', 'nominated', 'a', 'horrible', 'movie', 'that', 'ca', 'deal', 'with', 'the', 'right', '.']"
greg?,['greg']
"thanks, andy.","['.', 'andy', 'thanks']"
you will find it.,"['will', 'find', 'it']"
let's welcome our guest.,"['let', 'welcome', 'our', '.']"
she is so hot she works weekends as a -- at a tanning booth.,"['is', 'so', 'hot', 'she', 'weekends', 'as', 'a', 'at', 'tanning', '.']"
she is the reporter for the fox affiliate kttv in l.a. must be nice.,"['is', 'the', 'for', 'the', 'affiliate', 'in', 'l.a.', 'must', 'be', '.']"
your life is over.,"['life', 'is', 'over']"
and he burps thumbtacks.,"['thumbtacks', 'he', '.']"
it is chris baron dressing like a hockey player.,"['is', 'chris', 'baron', 'dressing', 'like', 'hockey', '.']"
he has two fingers.,"['has', 'two', 'fingers', '.']"
and in italy he is considered a hot plate.,"['in', 'he', 'is', 'a', 'hot', 'plate']"
"it is my sidekick, bill schulz.","['is', 'my', ',', 'bill', '.']"
and if hilarity was the electric slide my family did him in the 90s.,"['if', 'was', 'the', 'electric', 'my', 'family', 'did', 'in', 'the', '90s']"
good to see you with your coller.,"['good', 'see', 'you', 'your', '.']"
and he is the big old fake who needs to jump in a lake.,"['he', 'the', 'big', 'fake', 'who', 'needs', 'to', 'in', 'a', '.']"
"he is blah, blah, blah, blah, pinch.","['is', 'blah', ',', ',', 'blah', 'blah', ',', '.']"
blah.,['blah']
today in dining he discusses the finely agedgorgonzola.,"['today', 'dining', 'he', 'the', 'finely', '.']"
"give it a try, gorgonzola.","['give', 'a', ',', 'gorgonzola']"
lady gaga.,"['lady', 'gaga']"
"no, gorgonzola.","[',', '.']"
yo-gaba-gaba.,['yo-gaba-gaba']
one more time.,"['one', 'more', 'time']"
good ay glitter.,"['ay', 'good', 'glitter']"
get him out of here.,"['get', 'out', 'here']"
a block.,"['block', '.']"
the lede.,"['lede', '.']"
that's the first story.,"[""'s"", 'the', 'story', '.']"
we dial things back now and it is only going to be on fridays.,"['dial', 'things', 'back', 'now', 'and', 'is', 'going', 'to', 'be', 'on', '.']"
that was a special pinch.,"['was', 'a', 'pinch', '.']"
that's what that was.,"[""'s"", 'what', 'was']"
"still, one day too much.","['still', 'one', 'day', 'too', 'much', '.']"
maybe one fray day a month.,"['maybe', 'one', 'fray', 'day', 'month', '.']"
how about saturdays?,"['how', 'saturdays', '?']"
"wait, we don't have a show on saturdays.","['wait', 'we', ""n't"", 'have', 'a', 'show', 'saturdays', '.']"
will life be a bore if you sleep no more?,"['will', 'life', 'be', 'bore', 'if', 'sleep', 'more', '?']"
a drying used to -- a drug used to treat narcolepsy has gotten some press after claiming to make sleep unnecessary.,"['drying', 'used', 'to', 'a', 'used', 'treat', 'narcolepsy', 'has', 'some', 'press', 'after', 'claiming', 'to', 'sleep', 'unnecessary']"
let me repeat that.take one and all you will need is one a night.,"['let', 'repeat', 'that.take', 'one', 'and', 'you', 'need', 'one', 'a', 'night', '.']"
it comes from uppers like speed.,"['comes', 'from', 'like', 'speed']"
but is skipping bedtime a boom?,"['is', 'skipping', 'bedtime', 'a', '?']"
will not having so sleep mean working longer hours?,"['will', 'not', 'having', 'so', 'sleep', 'mean', 'working', 'longer', 'hours']"
will it double after the amount of time you have to stay interesting to your partner?,"['will', 'double', 'after', 'amount', 'time', 'you', 'to', 'stay', 'to', 'your', '?']"
tell me about it.,"['tell', 'about', '.']"
will the bars ever close?,"['will', 'bars', 'ever', 'close', '?']"
i hope not.,"['i', 'hope', 'not']"
the drug has been tested on parrakeets that it may make them more parrakeety.,"['drug', 'has', 'been', 'tested', 'on', 'that', 'it', 'make', 'more', 'parrakeety', '.']"
is there anything that drug can't do?,"['is', 'anything', 'that', 'ca', ""n't"", 'do', '?']"
how would this drug make your life better?,"['how', 'would', 'drug', 'make', 'your', 'better', '?']"
and i'm assuming it would since you are at a very lowpoint right now.,"['i', ""'m"", 'assuming', 'it', 'since', 'you', 'at', 'very', 'lowpoint', 'now']"
"thanks for bringing that up, greg.","['thanks', 'bringing', 'that', ',', 'greg']"
somebody had to.,"['somebody', 'had', '.']"
we read the papers.,"['the', '.', 'read']"
i am dead inside.,"['i', 'am', 'dead', 'inside']"
"sleep, no sleep.","['sleep', 'no', '.']"
"i am a morning reporter, so i only get two hours of sleep on average.","['i', 'am', 'morning', 'reporter', ',', 'i', 'get', 'two', 'hours', 'of', 'sleep', 'on', '.']"
you are sad when you report?,"['are', 'sad', 'when', 'you', '?']"
"yes, i am quite sad.","['sad', 'quite', 'am', ',', '.']"
i am sad all the time.,"['i', 'am', 'sad', 'the', '.']"
"no, i am excited for sleep in a way that i can't describe.","[',', 'am', 'excited', 'for', 'sleep', 'a', 'way', 'i', ""n't"", 'describe']"
not being able to sleep sounds awful to me.,"['sounds', 'to', 'awful', '.', 'being', 'sleep', 'not', 'able']"
"in fact, i am always looking for excuses to ambien myself in everyday activities.","['fact', ',', 'am', 'always', 'looking', 'for', 'excuses', 'ambien', 'myself', 'everyday', 'activities']"
this is not something i would be interested in.,"['is', 'not', 'something', 'i', 'would', 'be', 'interested', 'in']"
so you would sleep anywhere?,"['you', 'sleep', 'anywhere', '?']"
sleeping right now.,"['sleeping', 'right', 'now']"
"yes, good choice of words.","['yes', 'good', 'choice', 'of', '.']"
"nick, welcome back to the show.","['to', 'nick', 'back', 'show', 'welcome']"
it has been almost four years.,"['almost', '.', 'four', 'been', 'years', 'has']"
"yes, it has.","[',', 'has']"
and glad to see you look exactly how you did when you left.,"['glad', 'to', 'you', 'look', 'how', 'you', 'did', 'when', 'left', '.']"
like steve mariucci.,"['.', 'steve', 'mariucci']"
when did that happen?,"['when', 'did', 'happen', '?']"
"you look like that guy in ""shark tank"" but without the billions.","['look', 'like', 'guy', '``', 'shark', ""''"", 'without', 'the', 'billions']"
i think i know what you are talking about.,"['i', 'think', 'i', 'know', 'you', 'talking', 'about', '.']"
do we need this drug if we already 1r oval teen?,"['do', 'need', 'this', 'if', 'we', '1r', 'teen', '?']"
i only get two hours.,"['i', 'only', 'get', 'two', 'hours']"
my wife snores like a pirates.,"['wife', 'snores', 'like', 'pirates']"
she is 5 foot 6 and 110 pounds.,"['is', '5', 'foot', '6', 'and', 'pounds', '.']"
"it is like, like that.","['is', 'like', 'like', '.']"
"there is no rhythm, is there?","['is', 'no', ',', 'is', '?']"
you don't know when it will be loud or soft.,"['do', ""n't"", 'know', 'when', 'it', 'be', 'loud', 'or', 'soft']"
"i pinch her nose and standing on her neck with my timber lands , sleeping in other women's weds.","['i', 'pinch', 'nose', 'and', 'on', 'her', 'with', 'timber', 'lands', 'sleeping', 'other', 'women', ""'s"", '.']"
beds.,['beds']
"but you only need a drug to stay awake for 23 hours, 22 hours?","['you', 'need', 'a', 'drug', 'stay', 'awake', '23', 'hours', ',', 'hours', '?']"
first of all change the name so a stripper can pronounce it.,"['.', 'first', 'a', 'name', 'all', 'it', 'stripper', 'can', 'the']"
i can snort it off a mirror ina green room of a comedy club i am all for it.,"['i', 'can', 'snort', 'off', 'mirror', 'green', 'room', 'of', 'a', 'comedy', 'i', 'all', 'for', 'it', '.']"
how will this pill enhance your nightlife.,"['how', 'will', 'pill', 'enhance', 'your', '.']"
and this is a family show you heathen.,"['this', 'a', 'family', 'you', 'heathen', '.']"
i actually don't want the pill.,"['i', 'actually', 'do', ""n't"", 'want', 'pill', '.']"
it has been treated to use narcolepsy.,"['treated', 'been', 'has', 'to', '.', 'narcolepsy']"
i want narcolepsy.,"['i', 'want', 'narcolepsy']"
you do?,"['do', '?']"
i want the ability to go to bed on command.,"['i', 'want', 'ability', 'to', 'to', 'bed', 'command', '.']"
do you have a problem?,"['do', 'have', 'a', '?']"
- q. i well i have to sleep more.,"['q.', 'i', 'well', 'i', 'have', 'to', 'more', '.']"
"you are about 50, right?","['are', 'about', ',', 'right']"
shut the hell up.,"['shut', 'hell', 'up', '.']"
you know i am turning 40 this year.,"['know', 'i', 'am', 'turning', '40', 'this', '.']"
you are turning 40?,"['are', 'turning', '40', '?']"
vow no longer one of the young guys.,"['vow', 'no', 'longer', 'one', 'the', 'guys', '.']"
you are one of the old guys squiring the young guys.,"['are', 'one', 'of', 'old', 'squiring', 'the', 'young', 'guys']"
i am an old guy squiring another old guy.,"['i', 'am', 'old', 'guy', 'squiring', 'another', 'guy', '.']"
you can squire bill around.,"['around', 'can', 'squire', 'bill']"
you are trying to make him cry.,"['are', 'trying', 'to', 'him', 'cry']"
"i am an angry, sad man.","[',', 'am', 'i', '.', 'man', 'angry']"
"if you take this drug, won't the other drugs you take get gel jealous?do you ever worry about it hurting the cocaine running through your brain?","['you', 'this', 'drug', 'wo', ""n't"", 'other', 'drugs', 'you', 'get', 'gel', 'jealous', 'do', 'you', 'ever', 'worry', 'about', 'hurting', 'the', 'running', 'through', 'your', '?']"
it will be the battle of bill's brain.,"['will', 'be', 'the', 'of', 'bill', 'brain', '.']"
this is not good and i would never take it.,"['is', 'not', 'good', 'and', 'would', 'never', 'take', 'it', '.']"
you are missing the best part.,"['are', 'missing', 'the', 'part', '.']"
"who wants to be in real awful, horrible life particularly this time of year.","['wants', 'to', 'in', 'real', ',', 'horrible', 'life', 'this', 'time', 'of', 'year']"
in sleep world i am a cowboy.,"['sleep', 'world', 'i', 'am', 'a', '.']"
in sleep world i am an astronaut.,"['sleep', 'world', 'i', 'am', 'an', '.']"
in sleep world i am an astronaut sometimes dating the cowboy.,"['world', 'the', 'an', 'dating', 'i', 'cowboy', 'am', 'sleep', 'sometimes']"
who is the chick?,"['is', 'the', '?']"
played by none other the delightful --  rosa parks.,"['played', 'none', 'other', 'the', '--', 'rosa', '.']"
i knew you didn't know any women.,"['i', 'knew', 'did', ""n't"", 'know', 'any', '.']"
that's a girl.,"[""'s"", 'a', '.']"
i think she did something important.,"['i', 'think', 'did', 'something', 'important', '.']"
you didn't have it on the tip of your tongue.,"['did', ""n't"", 'have', 'it', 'the', 'of', 'tongue', '.']"
i have dated people with boobs.,"['i', 'have', 'dated', 'people', 'boobs', '.']"
no you haven't.,"['you', ""n't"", '.']"
i met people on the business of undetermining gender.rosa parks fought for that.,"['i', 'met', 'people', 'the', 'of', 'undetermining', 'parks', 'fought', 'for', 'that', '.']"
you didn't have a name and i got you.,"['did', ""n't"", 'have', 'a', 'and', 'i', 'you', '.']"
i bought roses at a park.,"['i', 'bought', 'roses', 'a', '.']"
"sleep is the number one thing i think about, but i want to be able to experience sleep.","['sleep', 'is', 'number', 'one', 'thing', 'i', 'think', 'about', 'but', 'want', 'be', 'able', 'to', 'sleep', '.']"
do you know what i mean?,"['do', 'know', 'what', 'mean', '?']"
"i look forward to sleep, but when you fall uh slipe you aren't experiencing it because you are unconscious.","['i', 'look', 'forward', 'sleep', ',', 'when', 'fall', 'uh', 'you', 'are', ""n't"", 'experiencing', 'because', 'you', 'are', 'unconscious']"
there has to be a way to allow you to watch yourself sleep.,"['there', 'has', 'be', 'a', 'to', 'allow', 'to', 'watch', 'sleep']"
greg we know you discovered that.,"['greg', 'know', 'you', 'that', '.']"
it is called percocet.,"['percocet', 'called', 'is', '.']"
"that allows you to lie there for hours and say this is great, but it is not sleeping.","['allows', 'you', 'lie', 'for', 'hours', 'and', 'this', 'is', ',', 'but', 'is', 'not', 'sleeping']"
so if i film myself sleeping perhaps that would be a solution.,"['film', 'would', 'perhaps', 'i', 'myself', 'solution', 'a', 'that', 'so', '.']"
